emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees,risk_category
global config engineer ,3.0,NJ,MORTGAGE,90000.0,Verified,18.01,,,,0.0,38.0,2001.0,6.0,28.0,10.0,70795.0,38767.0,0.0,0.0,38.0,0.0,1250.0,2.0,5.0,5.0,10.0,0.0,0.0,2.0,11100.0,14.0,8.0,6.0,1.0,92.9,0.0,0.0,moving,individual,28000.0,60.0,14.07,652.53,C,C3,Mar-2018,Current,whole,Cash,27015.86,1999.33,984.14,1015.19,0.0,Low
warehouse office clerk,10.0,HI,RENT,40000.0,Not Verified,5.04,,,,0.0,,1996.0,1.0,30.0,14.0,28800.0,4321.0,0.0,1.0,,0.0,0.0,0.0,11.0,8.0,14.0,0.0,0.0,3.0,16500.0,24.0,14.0,4.0,0.0,100.0,0.0,1.0,debt_consolidation,individual,5000.0,36.0,12.61,167.54,C,C1,Feb-2018,Current,whole,Cash,4651.37,499.12,348.63,150.49,0.0,Low
assembly,3.0,WI,RENT,40000.0,Source Verified,21.15,,,,0.0,28.0,2006.0,4.0,31.0,10.0,24193.0,16000.0,0.0,0.0,28.0,0.0,432.0,1.0,13.0,7.0,10.0,0.0,0.0,3.0,4300.0,14.0,8.0,6.0,0.0,93.5,0.0,0.0,other,individual,2000.0,36.0,17.09,71.4,D,D1,Feb-2018,Current,fractional,Cash,1824.63,281.8,175.37,106.43,0.0,Low
customer service,1.0,PA,RENT,30000.0,Not Verified,10.16,,,,0.0,,2007.0,0.0,4.0,4.0,25400.0,4997.0,0.0,1.0,,0.0,0.0,1.0,1.0,15.0,4.0,0.0,0.0,2.0,19400.0,3.0,3.0,2.0,0.0,100.0,1.0,0.0,debt_consolidation,individual,21600.0,36.0,6.72,664.19,A,A3,Jan-2018,Current,whole,Cash,18853.26,3312.89,2746.74,566.15,0.0,Low
security supervisor ,10.0,CA,RENT,35000.0,Verified,57.96,57000.0,Verified,37.66,0.0,,2008.0,7.0,22.0,16.0,69839.0,52722.0,0.0,0.0,,0.0,0.0,1.0,6.0,4.0,16.0,0.0,0.0,10.0,32700.0,20.0,15.0,13.0,0.0,100.0,0.0,0.0,credit_card,joint,23000.0,36.0,14.07,786.87,C,C3,Mar-2018,Current,whole,Cash,21430.15,2324.65,1569.85,754.8,0.0,Low
,,KY,OWN,34000.0,Not Verified,6.46,,,,1.0,3.0,1990.0,6.0,32.0,12.0,42100.0,3898.0,0.0,0.0,60.0,0.0,0.0,0.0,2.0,5.0,12.0,0.0,0.0,1.0,27200.0,27.0,12.0,5.0,3.0,78.1,0.0,0.0,other,individual,5000.0,36.0,6.72,153.75,A,A3,Jan-2018,Current,whole,Cash,4256.71,873.13,743.29,129.84,0.0,Low
hr ,10.0,MI,MORTGAGE,35000.0,Source Verified,23.66,155000.0,Not Verified,13.12,0.0,,2004.0,1.0,12.0,10.0,291852.0,18916.0,0.0,0.0,,0.0,0.0,2.0,1.0,9.0,10.0,0.0,0.0,3.0,9100.0,8.0,7.0,6.0,2.0,100.0,0.0,0.0,credit_card,joint,24000.0,60.0,13.59,553.35,C,C2,Jan-2018,Current,whole,Cash,22560.0,2730.51,1440.0,1290.51,0.0,Low
police,10.0,AZ,MORTGAGE,110000.0,Source Verified,16.19,,,,1.0,19.0,2005.0,1.0,30.0,15.0,342336.0,60805.0,0.0,0.0,71.0,0.0,0.0,2.0,4.0,7.0,15.0,,0.0,5.0,22250.0,16.0,12.0,10.0,7.0,93.0,0.0,0.0,debt_consolidation,individual,20000.0,60.0,11.99,444.79,B,B5,Jan-2018,Current,whole,Cash,19005.39,1765.84,994.61,771.23,0.0,Low
parts,10.0,NV,MORTGAGE,65000.0,Source Verified,36.48,,,,1.0,18.0,1998.0,3.0,35.0,21.0,283190.0,69561.0,0.0,0.0,18.0,0.0,0.0,6.0,10.0,4.0,21.0,0.0,0.0,11.0,36700.0,19.0,14.0,14.0,2.0,97.1,0.0,0.0,home_improvement,individual,20000.0,36.0,13.59,679.58,C,C2,Feb-2018,Current,whole,Cash,18156.66,2703.22,1843.34,859.88,0.0,Low
4th person,3.0,IL,RENT,30000.0,Not Verified,18.91,,,,0.0,,2001.0,0.0,9.0,6.0,33114.0,17768.0,0.0,0.0,,0.0,0.0,1.0,5.0,17.0,6.0,0.0,0.0,3.0,14700.0,7.0,5.0,3.0,0.0,100.0,0.0,0.0,credit_card,individual,6400.0,36.0,6.71,196.77,A,A3,Mar-2018,Current,fractional,Cash,6077.13,391.15,322.87,68.28,0.0,Low
